open,high,low,close,pre_close,change,pct_chg,vol,amount,close_index,open_index,high_index,low_index,change_index,pct_chg_index,vol_index,amount_index
12.7,12.7,11.56,11.56,12.84,-1.28,-9.9688,178594.24,212814.324,3258.8578,3427.2199,3437.1571,3249.1591,-230.9173,-6.617,992757256,1264311454
13.02,13.02,12,12.84,11.84,1,8.4459,253626.83,319206.353,3489.7751,3674.4048,3674.4048,3372.1868,153.2777,4.594,1313460195,1510513251
11.36,11.9,11,11.84,10.84,1,9.2251,206613.46,238312.247,3336.4974,3194.7224,3358.5883,3153.697,248.9688,8.0637,1102337917,1167772550
10.57,11.03,10.4,10.84,10.37,0.47,4.5323,118902.12,127329.024,3087.5286,3049.1026,3087.5286,3017.4453,86.576,2.885,492287163,480612559.5
10.29,10.37,10.15,10.37,10.16,0.21,2.0669,76000.15,77987.414,3000.9526,2893.7451,3000.9526,2889.0143,104.6469,3.6131,576319261,524669070.9
10.23,10.38,10.14,10.16,10.14,0.02,0.1972,85548.65,87853.995,2896.3057,2901.4185,2952.4511,2889.048,33.1802,1.1589,568259816,516698093.6
9.93,10.16,9.86,10.14,9.99,0.15,1.5015,70645.5,71069.755,2863.1255,2770.7543,2863.1519,2761.3717,114.2078,4.1546,477619545,442795296.9
9.91,10.08,9.85,9.99,9.91,0.08,0.8073,45644,45599.038,2748.9177,2735.3895,2760.4799,2731.3571,12.1038,0.4423,257642154,235214505.9
9.8,9.97,9.76,9.91,9.8,0.11,1.1224,47655.5,47212.688,2736.8139,2734.2277,2741.1552,2717.9451,0.7917,0.0289,285644627,255433329.9
9.57,9.84,9.41,9.8,9.47,0.33,3.4847,44078.01,42699.305,2736.0222,2723.2053,2747.7402,2697.7756,18.7409,0.6897,315208389,280536046.2
9.63,9.77,9.35,9.47,9.63,-0.16,-1.6615,35885,34005.844,2717.2813,2705.3451,2724.1141,2689.6952,13.1917,0.4878,247817132,213090588.6
9.81,9.89,9.62,9.63,9.84,-0.21,-2.1341,34309,33380.318,2704.0896,2718.9864,2728.7797,2703.3689,-13.0335,-0.4797,251270038,227818801.1
9.7,9.94,9.65,9.84,9.83,0.01,0.1017,50395,49685.406,2717.1231,2722.1382,2734.6832,2716.5552,-4.6721,-0.1717,240084315,218571098.7
9.99,10,9.75,9.83,10.05,-0.22,-2.1891,56362,55518.209,2721.7952,2732.7314,2732.7314,2710.6208,-22.3969,-0.8162,242264900,219755948.4
9.74,10.05,9.7,10.05,9.73,0.32,3.2888,86362,85734.28,2744.1921,2737.881,2750.1181,2718.6273,7.7045,0.2815,262159015,226408493
9.7,9.77,9.51,9.73,9.69,0.04,0.4128,32754.3,31643.031,2736.4876,2754.7237,2756.556,2726.9667,-29.319,-1.0601,261468847,236605848.5
9.85,9.96,9.68,9.69,9.85,-0.16,-1.6244,38671.3,37947.597,2765.8066,2791.7645,2804.0932,2765.6394,-22.5075,-0.8072,253645375,228570135
9.8,9.92,9.79,9.85,9.77,0.08,0.8188,32962,32457.355,2788.3141,2785.2635,2796.0186,2777.471,4.0358,0.1449,242040948,227514507.2
9.77,9.88,9.7,9.77,9.87,-0.1,-1.0132,33105,32424.007,2784.2783,2786.5046,2800.6065,2781.9352,-18.7004,-0.6672,257453500,234711697.3
9.7,9.88,9.7,9.87,9.72,0.15,1.5432,37906,37148.253,2802.9787,2809.1733,2814.903,2794.9111,-8.0563,-0.2866,275736139,252782482.5
9.83,10.02,9.7,9.72,9.91,-0.19,-1.9173,54129.5,53423.964,2811.035,2832.3499,2839.2784,2810.3739,-31.1792,-1.097,340714193,314813036.7
9.46,10.1,9.41,9.91,9.48,0.43,4.5359,86662.3,85345.545,2842.2142,2819.6498,2867.9649,2817.0141,19.1082,0.6769,397516975,384092892.1
9.3,9.57,9.2,9.48,9.32,0.16,1.7167,36033,33939.34,2823.106,2829.4506,2831.4309,2815.3829,-14.3233,-0.5048,277510534,257644228.8
9.37,9.41,9.19,9.32,9.37,-0.05,-0.5336,30725,28578.608,2837.4293,2844.3269,2852.5621,2830.9615,-11.3019,-0.3967,228730623,213862368.7
9.65,9.66,9.33,9.37,9.74,-0.37,-3.7988,44691.5,42248.191,2848.7312,2850.8773,2853.7804,2843.1576,-6.7891,-0.2378,230693006,215686326.2
9.51,9.75,9.46,9.74,9.53,0.21,2.2036,39222.31,37816.461,2855.5203,2855.4741,2860.6545,2844.3828,1.1528,0.0404,227351523,216806649
9.5,9.66,9.44,9.53,9.6,-0.07,-0.7292,41315.77,39419.693,2854.3675,2844.7703,2860.7327,2839.3371,5.5957,0.1964,226692565,214581900.3
9.72,9.91,9.52,9.6,9.8,-0.2,-2.0408,48754,47476.927,2848.7718,2856.2001,2861.6071,2845.5024,-7.8121,-0.2735,245399415,230124077.2
9.76,9.92,9.71,9.8,9.81,-0.01,-0.1019,29603.5,29094.555,2856.5839,2858.9388,2863.891,2848.1509,-10.0771,-0.3515,229200027,209909187.8
10.02,10.04,9.8,9.81,10.02,-0.21,-2.0958,54616,53852.194,2866.661,2895.5506,2896.5194,2855.3293,-27.0128,-0.9335,263658002,237307804
10.03,10.2,9.98,10.02,10.06,-0.04,-0.3976,45745,46016.657,2893.6738,2877.9542,2905.1547,2877.7709,14.244,0.4947,261687730,242994885.3
10.24,10.29,10.04,10.06,10.23,-0.17,-1.6618,49311,50027.964,2879.4298,2877.9403,2888.6753,2873.0601,2.0719,0.072,263653441,243608265.4
10.23,10.25,9.91,10.23,10.17,0.06,0.59,66980,67953.672,2877.3579,2844.2005,2889.0866,2839.3875,26.704,0.9368,271900000,254987115.6
10.09,10.19,10.06,10.17,10.11,0.06,0.5935,48388.52,49100.269,2850.6539,2866.2434,2866.2434,2850.401,-17.2921,-0.6029,217885170,207457552.4
10.06,10.15,9.96,10.11,10.02,0.09,0.8982,41678,41924.672,2867.946,2860.4099,2867.946,2845.3099,9.7414,0.3408,231674601,210908509.4
10.13,10.13,9.93,10.02,10.15,-0.13,-1.2808,57461,57462.968,2858.2046,2858.8946,2869.2688,2851.2952,-3.9895,-0.1394,244241371,217626684.5
10.17,10.3,10.1,10.15,10.18,-0.03,-0.2947,56072,57072.378,2862.1941,2879.8726,2887.8489,2862.1941,-7.7073,-0.2686,284253916,252884027
10.42,10.43,10.1,10.18,10.51,-0.33,-3.1399,92507,94387.236,2869.9014,2864.758,2886.3994,2850.8745,0.0676,0.0024,289128632,271107919.5
10.55,10.68,10.48,10.51,10.55,-0.04,-0.3791,85116.54,89965.508,2869.8338,2864.0101,2886.9417,2857.7247,2.5501,0.0889,263097150,263793649.8
10.67,10.8,10.36,10.55,10.57,-0.02,-0.1892,141923.24,149721.219,2867.2837,2878.6508,2888.2009,2845.335,6.5859,0.2302,297300803,295835558.8
10.94,11.44,10.51,10.57,10.9,-0.33,-3.0275,219627.16,241766.582,2860.6978,2889.3634,2919.0252,2860.6978,-44.6397,-1.5365,355540572,356863001.4
10.75,11.11,10.7,10.9,10.88,0.02,0.1838,168481.24,183603.484,2905.3375,2913.0198,2931.2593,2902.7202,-27.0496,-0.9224,312205039,314917985.4
10.8,10.97,10.76,10.88,10.85,0.03,0.2765,195382.12,212175.347,2932.3871,2940.12,2947.8768,2928.8262,-6.3622,-0.2165,346621137,352586120.4
10.24,11.25,10.19,10.85,10.23,0.62,6.0606,230741,247283.51,2938.7493,2877.5409,2940.5927,2876.3009,59.4497,2.0647,412723417,418871723.4
10.17,10.35,10.1,10.23,10.28,-0.05,-0.4864,74912.12,76550.062,2879.2996,2885.2152,2885.2152,2865.1493,-12.5457,-0.4338,262478837,269477482.6
10.12,10.37,9.96,10.28,10.02,0.26,2.5948,101132.12,103070.527,2891.8453,2889.4726,2898.9512,2878.5825,0.948,0.0328,256899727,260094898.4
9.88,10.06,9.85,10.02,9.89,0.13,1.3145,59340,59323.454,2890.8973,2885.9953,2899.1162,2875.3959,4.1557,0.144,278387536,275443435
9.86,10.07,9.7,9.89,10,-0.11,-1.1,74871.91,73850.124,2886.7416,2891.8918,2897.7674,2872.8497,-15.2102,-0.5241,274639500,273281622.5
9.96,10.15,9.86,10,10.07,-0.07,-0.6951,88812.05,88836.057,2901.9518,2909.1521,2922.0298,2894.2885,-13.4167,-0.4602,306118853,288660361.6
10.05,10.27,10,10.07,10.2,-0.13,-1.2745,100695,102345.523,2915.3685,2960.5004,2960.5004,2915.3682,-48.847,-1.6479,296295994,307194049.9
10.5,10.5,10.13,10.2,10.22,-0.02,-0.1957,115638,118939.667,2964.2155,2978.1932,2978.6007,2946.5608,-18.0931,-0.6067,278749559,316415459.9
9.89,10.58,9.81,10.22,10.03,0.19,1.8943,138449.24,141730.097,2982.3086,2963.5144,2986.2425,2955.1199,5.1752,0.1738,280932413,319112460.5
10,10.06,9.69,10.03,10.21,-0.18,-1.763,143193,140973.224,2977.1334,2951.1434,2978.0919,2937.9045,14.2785,0.4819,278022665,301283750.6
10.58,10.61,10.15,10.21,10.84,-0.63,-5.8118,216307.5,222879.169,2962.8549,2970.8081,2972.7949,2957.948,-13.4494,-0.4519,282307991,305469106
11.1,11.17,10.72,10.84,11.22,-0.38,-3.3868,307885,335443.951,2976.3043,2963.9001,2977.3613,2959.6655,2.2936,0.0771,260783630,279121370.5
11.22,11.22,11.01,11.22,10.2,1.02,10,263203,295084.806,2974.0107,2963.8472,2977.3126,2959.1288,2.7157,0.0914,268992597,268733339.5
10.44,10.58,10.19,10.2,10.43,-0.23,-2.2052,89962.5,93155.679,2971.295,2965.6121,2977.1417,2963.3033,0.9076,0.0306,303713014,302581576
10.45,10.51,10.35,10.43,10.26,0.17,1.6569,84547.86,88137.612,2970.3874,2957.2502,2971.3608,2947.4027,31.0238,1.0555,328372424,337653177.1
10.36,10.49,10.21,10.26,10.65,-0.39,-3.662,91570.22,94486.637,2939.3636,2949.0261,2958.8594,2935.3304,-20.0088,-0.6761,301549456,306035255.4
10.42,10.66,9.98,10.65,10.51,0.14,1.3321,141113.88,145801.828,2959.3724,2919.5729,2963.7822,2904.0389,36.9226,1.2634,315062031,320361092.8
10.82,10.87,10.43,10.51,10.99,-0.48,-4.3676,110597,116990.253,2922.4498,2939.8367,2947.61,2917.2322,-27.4835,-0.9317,277533424,270872022.9
10.71,11.15,10.13,10.99,11,-0.01,-0.0909,143578.63,154520.303,2949.9333,2954.3723,2957.1069,2920.2046,-7.6337,-0.2581,272324556,271508929.4
10.93,11.5,10.71,11,10.77,0.23,2.1356,180364.03,198896.507,2957.567,2984.8303,2995.5695,2955.2895,-24.8086,-0.8318,274268789,259006711
10.95,11.14,10.76,10.77,11.27,-0.5,-4.4366,148996,162261.927,2982.3756,2995.6642,2998.5369,2978.0686,-14.6355,-0.4883,246284642,257840296.8
10.92,11.36,10.88,11.27,10.96,0.31,2.8285,237577,265650.486,2997.0111,2992.8556,3004.987,2989.4701,2.2808,0.0762,281364683,282559369.5
